19,0.9|21,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
6,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|26,0
24,0.325|0,0|13,0|15,0
n,0|6,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
9,0|n,0|n,0|n,0
19,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
24,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
9,0|n,0|n,0|n,0
19,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
24,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|n,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
27,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|20,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|16,0
24,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
9,0|n,0|n,0|n,0
19,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
24,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|n,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
27,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|20,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|16,0
24,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|n,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|29,0|n,0
n,0|19,0|0,0|0,0
27,0|n,0|13,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|0,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|0,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|0,0|n,0
n,0|19,0|0,0|16,0
24,0|n,0|0,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|0,0|n,0
n,0|19,0|n,0|0,0
9,0|n,0|n,0|n,0
19,0|0,0|n,0|5,0
0,0|0,0|0,0|n,0
n,0|19,0|0,0|0,0
24,0|n,0|0,0|15,0
n,0|0,0|n,0|n,0
n,0|2,0|0,0|n,0
n,0|19,0|n,0|0,0
24,0|n,0|n,0|n,0
n,0|0,0|n,0|5,0
0,0|0,0|0,0|n,0
n,0|19,0|0,0|0,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|7,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|19,0|15,0|16,0
27,0|n,0|15,0|15,0
n,0|n,0|15,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
24,0|14,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
18,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
19,0|19,0|8,0|n,0
24,0|7,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
18,0|n,0|8,0|n,0
n,0|3,0|8,0|n,0
n,0|n,0|n,0|n,0
19,0|19,0|n,0|n,0
24,0|14,0|14,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|n,0
18,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
19,0|19,0|n,0|16,0
24,0|7,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|19,0|15,0|16,0
18,0|n,0|15,0|15,0
n,0|n,0|15,0|n,0
n,0|2,0|15,0|n,0
19,0|19,0|n,0|16,0
24,0|n,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|n,0|20,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|14,0|n,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|2,0|15,0|n,0
n,0|19,0|n,0|16,0
24,0|7,0|20,0|n,0
n,0|3,0|n,0|n,0
n,0|2,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|13,0|15,0
n,0|3,0|n,0|n,0
n,0|n,0|8,0|n,0
19,0|19,0|n,0|16,0
24,0|14,0|n,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|n,0|15,0
n,0|n,0|8,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|7,0|n,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|n,0|15,0
n,0|3,0|8,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|14,0|14,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
27,0|n,0|n,0|15,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|16,0
24,0|7,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|19,0|15,0|16,0
27,0|n,0|15,0|15,0
n,0|n,0|15,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
24,0|14,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
18,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
19,0|19,0|8,0|n,0
24,0|7,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|n,0|8,0|n,0
n,0|19,0|8,0|n,0
18,0|n,0|8,0|n,0
n,0|3,0|8,0|n,0
n,0|n,0|n,0|n,0
19,0|19,0|n,0|n,0
24,0|14,0|14,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|19,0|n,0|n,0
18,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
19,0|19,0|n,0|16,0
24,0|7,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|19,0|15,0|16,0
18,0|n,0|15,0|15,0
n,0.65|n,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|n,0|15,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
n,0|n,0|n,0|n,0
